# Sample holdover test log file
# Format: timestamp,frequency_error,temperature,voltage,current,status
1701234567.123,1.23e-9,25.5,12.0,0.5,LOCKED
1701234567.133,1.25e-9,25.6,12.0,0.5,LOCKED
1701234567.143,1.22e-9,25.4,12.0,0.5,LOCKED
1701234567.153,1.24e-9,25.5,12.0,0.5,LOCKED
1701234567.163,1.21e-9,25.3,12.0,0.5,LOCKED
1701234567.173,1.26e-9,25.7,12.0,0.5,LOCKED
1701234567.183,1.23e-9,25.5,12.0,0.5,LOCKED
1701234567.193,1.25e-9,25.6,12.0,0.5,LOCKED
1701234567.203,1.22e-9,25.4,12.0,0.5,LOCKED
1701234567.213,1.24e-9,25.5,12.0,0.5,LOCKED
1701234567.223,1.21e-9,25.3,12.0,0.5,LOCKED
1701234567.233,1.26e-9,25.7,12.0,0.5,LOCKED
1701234567.243,1.23e-9,25.5,12.0,0.5,LOCKED
1701234567.253,1.25e-9,25.6,12.0,0.5,LOCKED
1701234567.263,1.22e-9,25.4,12.0,0.5,LOCKED
1701234567.273,1.24e-9,25.5,12.0,0.5,LOCKED
1701234567.283,1.21e-9,25.3,12.0,0.5,LOCKED
1701234567.293,1.26e-9,25.7,12.0,0.5,LOCKED
1701234567.303,1.23e-9,25.5,12.0,0.5,LOCKED
1701234567.313,1.25e-9,25.6,12.0,0.5,LOCKED
